name,category,description,gut_score,confidence_score,aliases,dosage_min,dosage_max,dosage_unit,dosage_frequency,bacteria_1,bacteria_effect_1,bacteria_strength_1,bacteria_mechanism_1,bacteria_2,bacteria_effect_2,bacteria_strength_2,bacteria_mechanism_2,metabolic_effect_1,metabolic_mechanism_1,symptom_effect_1,symptom_direction_1,symptom_notes_1,citation_1_pmid,citation_1_title,citation_1_journal,citation_1_year
Cinnamon,herb,Spice with antimicrobial properties and beneficial bacteria promotion,7.5,0.75,Cinnamomum cassia;Cinnamomum verum;Ceylon cinnamon;Cassia cinnamon,250,2400,mg,daily,Bifidobacterium longum,promotes_growth,strong,Antimicrobial activity and prebiotic effects increase beneficial bacteria,Gammaproteobacteria,inhibits_growth,strong,Broad-spectrum antibacterial activity reduces pathogenic bacteria,reduces_inflammation,Reduces gut inflammation and improves gut barrier function through antimicrobial activity,diarrhea,positive,Reduces diarrhea symptoms and improves gut microbiome diversity with immune support,31595527,Cinnamon essential oil on gut microbiota,Food & Function,2019
Zinc,mineral,Essential mineral with gut barrier integrity and immune function benefits,7.0,0.75,Zinc gluconate;Zinc picolinate;Zinc sulfate,8,40,mg,daily,Gut barrier,promotes_growth,strong,Essential for tight junction protein synthesis and gut barrier integrity,Immune cells,promotes_growth,strong,Critical for immune cell function and wound healing in gut tissue,improves_barrier_function,Essential for tight junction protein synthesis and immune cell function,diarrhea,positive,Reduces diarrhea duration and supports gut barrier integrity with immune function enhancement,Multiple,Multiple studies on zinc deficiency and gut health,Various journals,2015-2024
Magnesium,mineral,Essential mineral with muscle relaxation and stool-softening properties,6.5,0.70,Magnesium oxide;Magnesium citrate;Magnesium glycinate,200,400,mg,daily,Gut motility,promotes_growth,moderate,Muscle relaxation properties support normal gut motility,Stool consistency,modulates_activity,moderate,Osmotic effects and muscle relaxation improve stool consistency,modulates_immune,Muscle relaxation and osmotic effects support normal gut motility,constipation,positive,Effective for constipation relief through muscle relaxation and osmotic effects,Multiple,Studies on magnesium for constipation,Various journals,2015-2024
Vitamin D3,vitamin,Fat-soluble vitamin with immune modulation and barrier function benefits,7.0,0.75,Cholecalciferol;Vitamin D3,1000,4000,IU,daily,Gut barrier,promotes_growth,strong,Modulates immune function and supports gut barrier integrity,Immune cells,promotes_growth,strong,Critical for immune cell function and inflammatory response regulation,modulates_immune,Modulates immune function and supports gut barrier integrity through multiple pathways,irregular_bowel,positive,Supports gut barrier integrity and immune function with reduced inflammatory response,Multiple,Multiple studies on vitamin D and gut health,Various journals,2015-2024
Licorice root,herb,Traditional herb with anti-inflammatory and ulcer-healing properties,7.0,0.75,Glycyrrhiza glabra;DGL;Deglycyrrhizinated licorice;Yashtimadhu,200,600,mg,twice_daily,Beneficial bacteria,promotes_growth,moderate,Supports beneficial bacteria growth and stimulates mucus production,H. pylori,inhibits_growth,strong,Fights H. pylori and other pathogens through antimicrobial compounds,reduces_inflammation,Reduces gut inflammation and stimulates mucus production,abdominal_pain,positive,Reduces acid reflux and heartburn while healing gastric ulcers,32671062,Glycyrrhiza glabra (Licorice) review,Phytotherapy Research,2020
Fennel,herb,Carminative herb with digestive support and antimicrobial properties,7.0,0.72,Foeniculum vulgare;Fennel seeds;Saunf;Anethole,100,600,mg,daily,Beneficial bacteria,promotes_growth,moderate,Supports beneficial bacteria growth and improves gut microbiome diversity,Pathogenic bacteria,inhibits_growth,moderate,Antimicrobial properties fight harmful bacteria while supporting digestion,reduces_inflammation,Reduces gut inflammation and provides carminative properties for digestive support,bloating,positive,Reduces bloating and gas with improved digestion and gut motility support,35269469,Effect of fennel seed extract on STAT signaling,Food Chemistry,2022
Almonds,other,Tree nut with prebiotic effects and healthy fats for gut support,7.0,0.80,Amygdalus communis;Sweet almonds,28000,56000,mg,daily,Bifidobacterium,promotes_growth,strong,Prebiotic effects and healthy fats increase beneficial bacteria growth,Roseburia,promotes_growth,moderate,Butyrate production and prebiotic effects support SCFA-producing bacteria,increases_scfa,Increases butyrate production with prebiotic effects and enhanced SCFA production,bloating,positive,Supports gut barrier function and reduces inflammation through prebiotic effects,24780090,Prebiotic effects of almonds and almond skins,Anaerobe,2014
Walnuts,other,Tree nut with omega-3 fatty acids and prebiotic fiber benefits,7.0,0.80,Juglans regia;English walnuts,28000,42000,mg,daily,Roseburia,promotes_growth,strong,Enhances butyrate production and supports urolithin A production,Ruminococcaceae,promotes_growth,moderate,Omega-3 content and prebiotic fiber promote beneficial bacteria growth,increases_scfa,Enhances butyrate production and supports urolithin A production with anti-inflammatory effects,irregular_bowel,positive,Supports cardiovascular health and reduces inflammation through gut microbiome modulation,29244938,Changes in gut microbial communities with walnuts,Journal of Nutritional Biochemistry,2017
Pectin,fiber,Soluble fiber from fruits with moderate SCFA production,6.0,0.72,Apple pectin;Citrus pectin;Modified citrus pectin,5000,15000,mg,daily,Lachnospira,promotes_growth,strong,Structure-dependent fermentation with selective bacterial stimulation,Faecalibacterium prausnitzii,promotes_growth,moderate,Moderate SCFA production with enhanced gut barrier function,increases_scfa,Moderate SCFA production with enhanced gut barrier function and cholesterol reduction,irregular_bowel,positive,Improved gut health and cholesterol management with moderate digestive benefits,36079886,Systematic review of pectin effects,Nutrients,2022
Sauerkraut,other,Fermented cabbage with live probiotics and enhanced bioavailability,7.0,0.70,Fermented cabbage;Lacto-fermented cabbage,30000,60000,mg,daily,Lactobacillus,promotes_growth,strong,Live probiotics increase beneficial bacteria and reduce pathogenic bacteria,Bifidobacterium,promotes_growth,moderate,Fermentation enhances SCFA production and improves gut barrier function,increases_scfa,Enhances SCFA production and improves gut barrier function through live probiotics,bloating,positive,Supports digestive health and reduces inflammation through live probiotic content,32184365,Fermented foods and gut microbiome,mSystems,2020
Kimchi,other,Korean fermented vegetables with diverse probiotics and bioactive compounds,7.0,0.70,Korean fermented vegetables;Fermented cabbage,30000,60000,mg,daily,Bifidobacterium,promotes_growth,strong,Diverse probiotics enhance microbiome diversity and reduce pathogenic bacteria,Lactobacillus,promotes_growth,moderate,Fermentation enhances SCFA production and supports weight management,increases_scfa,Enhances microbiome diversity and SCFA production with weight management support,bloating,positive,Supports weight management and reduces inflammation through diverse probiotic content,32184365,Fermented foods and gut microbiome,mSystems,2020
Slippery elm,herb,Mucilaginous herb with demulcent properties and gut barrier support,6.5,0.70,Ulmus rubra;Red elm;Indian elm,1200,2000,mg,daily,Bifidobacterium,promotes_growth,strong,Mucilage supports beneficial bacteria growth and provides protective coating,Lactobacillus,promotes_growth,moderate,Prebiotic effects and mucilage support gut barrier function,improves_barrier_function,Forms protective mucilage coating and promotes gut barrier function,bloating,positive,Reduces bloating and gas while soothing digestive discomfort,28473832,Prebiotic potential of herbal medicines,Journal of Ethnopharmacology,2017
Oregano,herb,Antimicrobial herb with broad-spectrum antibacterial properties,6.5,0.70,Origanum vulgare;Oregano oil;Carvacrol;Thymol,25,300,mg,daily,Pathogenic bacteria,inhibits_growth,strong,Broad-spectrum antibacterial and antifungal activity against pathogens,E. coli,inhibits_growth,strong,Antimicrobial spectrum activity reduces harmful bacteria,reduces_inflammation,Broad-spectrum antibacterial and antifungal activity reduces gut inflammation,gas,positive,Reduces SIBO symptoms and fights gut infections while improving digestive comfort,27314563,Oregano essential oil improves intestinal morphology,Poultry Science,2016
Lactulose,prebiotic,Synthetic disaccharide with osmotic and prebiotic effects,6.0,0.75,Synthetic disaccharide,10000,40000,mg,daily,Bifidobacterium,promotes_growth,strong,Osmotic effect and bacterial fermentation promote beneficial bacteria,Lactobacillus,promotes_growth,moderate,Moderate SCFA production with laxative effects and ammonia reduction,increases_scfa,Moderate SCFA production with laxative effects and ammonia reduction,constipation,positive,Constipation relief and hepatic encephalopathy treatment through osmotic effects,Multiple,Studies on lactulose for constipation,Various journals,2015-2024
Marshmallow root,herb,Mucilaginous herb with demulcent and anti-inflammatory properties,6.0,0.68,Althaea officinalis;Mallows;Althea,1000,2000,mg,daily,Beneficial bacteria,promotes_growth,moderate,Mucilage may support beneficial bacteria growth through polysaccharides,Gut mucosa,promotes_growth,moderate,Forms protective mucilage coating and soothes irritated mucous membranes,reduces_inflammation,Forms protective mucilage coating and reduces gut inflammation,abdominal_pain,positive,Reduces acid reflux and heartburn while soothing digestive inflammation,29372567,Marshmallow root benefits and research,Complementary Therapies in Medicine,2018
Arabinogalactan,prebiotic,Larch-derived prebiotic with immune modulation properties,5.0,0.65,Larch arabinogalactan;AG,4000,15000,mg,daily,Bifidobacterium,promotes_growth,moderate,Specific bacterial fermentation with immune modulation,Lactobacillus,promotes_growth,weak,Limited broader effects on gut microbiome diversity,modulates_immune,Limited SCFA production with immune system enhancement,gas,positive,Immune support with limited digestive benefits,Multiple,Studies on arabinogalactan immune effects,Various journals,2015-2024
Xylooligosaccharides,prebiotic,Prebiotic oligosaccharides with selective bacterial growth,5.0,0.62,XOS;Xylo-oligosaccharides,1000,8000,mg,daily,Bifidobacterium,promotes_growth,moderate,Selective fermentation with moderate bacterial stimulation,Gut microbiome,modulates_activity,weak,Limited broader microbiome effects beyond bifidobacteria,increases_scfa,Moderate bifidobacterial growth with limited SCFA production,gas,positive,Moderate digestive benefits with antioxidant support,Multiple,Studies on XOS prebiotic effects,Various journals,2015-2024
Bone broth,other,Collagen-rich broth with gut barrier support and anti-inflammatory properties,6.0,0.60,Bone stock;Collagen broth;Gelatin broth,240000,480000,ml,daily,Beneficial bacteria,promotes_growth,moderate,Provides collagen glycine and glutamine for gut lining repair,Pathogenic bacteria,inhibits_growth,weak,Anti-inflammatory effects may reduce pathogenic bacteria,reduces_inflammation,Provides collagen glycine and glutamine for gut lining repair,bloating,positive,Reduces gut inflammation and improves leaky gut with digestive comfort support,34804095,Anti-inflammatory capacity of bone broth,Nutrients,2021
Miso,other,Fermented soybean paste with probiotics and beneficial metabolites,6.0,0.60,Fermented soybean paste;Japanese miso,15000,30000,mg,daily,Bacillus subtilis,promotes_growth,moderate,Contains beneficial bacteria and provides beneficial metabolites,Beneficial bacteria,promotes_growth,weak,Limited specific gut microbiome research available,reduces_inflammation,Provides beneficial metabolites and supports gut health,bloating,positive,May support digestive health with anti-inflammatory effects,32184365,Fermented foods and gut microbiome,mSystems,2020
Kombucha,other,Fermented tea with diverse probiotics and antioxidant properties,6.0,0.60,Fermented tea;SCOBY tea,120000,240000,ml,daily,Diverse probiotics,promotes_growth,moderate,Provides various probiotics and supports microbiome diversity,Gut microbiome,modulates_activity,weak,Limited specific gut microbiome research available,reduces_inflammation,Enhances gut microbial activity and provides beneficial compounds,bloating,positive,May support digestive health with antioxidant effects,32184365,Fermented foods and gut microbiome,mSystems,2020
Coconut oil,fatty_acid,Medium-chain triglycerides with antimicrobial and barrier support properties,6.0,0.60,Virgin coconut oil;MCT oil;Medium-chain triglycerides,15000,30000,mg,daily,Lactobacillus,promotes_growth,moderate,Provides lauric acid with antimicrobial properties,Bifidobacterium,promotes_growth,weak,Limited specific gut microbiome research available,reduces_inflammation,Provides lauric acid with antimicrobial properties and supports beneficial bacteria,bloating,positive,May reduce pathogenic bacteria and support gut barrier function,30326086,Differential effects of coconut versus soy oil,BMC Genomics,2018
Hemp seeds,other,Nutrient-dense seeds with omega fatty acids and prebiotic fiber,6.0,0.60,Cannabis sativa seeds;Hemp hearts,15000,45000,mg,daily,Bifidobacterium,promotes_growth,moderate,Provides omega-3 and omega-6 fatty acids with prebiotic fiber,Lactobacillus,promotes_growth,weak,Limited specific gut microbiome research available,reduces_inflammation,Provides omega-3 and omega-6 fatty acids with fiber for SCFA production,bloating,positive,Reduces inflammation and supports gut barrier function,36238310,Hemp seed modulates endocannabinoidome,Frontiers in Pharmacology,2022
